Program,Subawardee UEI,Capability Domain (D),Primary Output (P),Capability Domain Note,Primary Output Note
DDG,M4ELQDG7JLM5,D4,P3,"Centrifugal pumps and pump overhaul parts move shipboard fluids.

https://www.buffalopumps.com/markets-applications/navy-marine/
https://www.buffalopumps.com/products/navy-and-marine-duty-pumps/","Centrifugal pumps/OEM pump units are functional fluid-handling equipment once connected.

https://www.navsea.navy.mil/Portals/103/Documents/SSRAC/4E/FY26/FY26_4E_PKG_01OCT2024.pdf
https://www.buffalopumps.com/products/navy-and-marine-duty-pumps/
https://www.buffalopumps.com/"
DDG,MC77SUMRLXY5,D4,P3,"Gate, globe, check and ball valves are fluid/piping-control hardware.

https://www.milwaukeevalve.com/product-category/marine-valves/
https://www.milwaukeevalve.com/product-category/marine-valves/navy-mil-standard-valves/","Gate, globe, check, and ball valves are bounded functional piping-control units.

https://www.highergov.com/awardee/milwaukee-valve-co-inc-10108548/
https://www.asapsemi.com/nsn/rfq/milwaukee-valve-company-inc/4820014799588/1281-006-3-41n/
https://www.lqlite.com/NSN/4820-01-479-9583"
DDG,MD21J51WM123,D4,P3,"Legacy Tyco role is fire-protection equipment, i.e., suppression fluid/agent hardware.

https://www.tyco-fire.com/
https://www.tyco-fire.com/products-and-solutions/valves-devices-and-components",Fire-suppression equipment is bounded functional equipment (P3); matches sibling JCI/Tyco UEI H1PAVTLJBJ88 (D4/P3). [Promoted 2026-06-30 from ddg_sam_research_findings] §P4-2.
DDG,MDH6KH9D4SG7,D3,P3,"Automatic bus-transfer switches, transformers and switch components distribute electrical power.

https://www.se.com/us/en/product-subcategory/89175-automatic-transfer-switches/
https://www.power-solutions.com/power-dstr/asco-power-technologies/asco-power-transfer-switches/asco-low-voltage-automatic-transfer-switch/","Automatic bus-transfer-switch assemblies are functional electrical distribution/control equipment.

https://www.se.com/us/en/product-subcategory/89175-automatic-transfer-switches/
https://www.gotpower.com/wp-content/uploads/2024/08/ASCO-series300-power-transfer-switches.pdf
https://www.globalpwr.com/brand/asco/"
DDG,MEMSWT1LFU18,D8,P3,"Helicopter-hangar door systems are specialty access/deck auxiliary machinery.

https://www.jered.com/products/specialty-access-sideport-shell-doors/
https://www.highergov.com/contract-opportunity/ddg-helicopter-hangar-door-parts-n5523623q0176-r-9c695/","The helicopter-hangar door system is a bounded electromechanical door-equipment unit, not a ship zone/module.

https://www.jered.com/products/specialty-access-sideport-shell-doors/"
DDG,MKXMUFJJYLY5,D3,P3,"Naval motor controllers, control components and overload relays are electrical power/motor-control hardware.

https://www.fairbanksmorsedefense.com/solutions/controllers/
https://www.fairbanksmorse.com/hubfs/Terms%20and%20Conditions/Ward%20Leonard/Ward%20Leonard%20DoD%20Quick%20Reference%20Card.pdf","Motor-controller equipment, motors, and associated controls are bounded functional electromechanical units.

https://www.businesswire.com/news/home/20210105005632/en/Fairbanks-Morse-Acquires-Ward-Leonard
https://www.fairbanksmorsedefense.com/
https://man.fas.org/dod-101/sys/ship/weaps/docs/cg_03-91.html"
DDG,MMDRDDVELDX8,D4,P3,"Globe/stop/check and relief valves are shipboard fluid-control components.

https://dantevalve.com/
https://dantevalve.com/blog/naval-valves/
https://dantevalve.com/product/danco-d48duu/","Globe/stop/check and relief-valve assemblies are functional fluid-control units.

https://www.highergov.com/subcontract/N0002418C2307-07687-18
https://dantevalve.com/
https://fsg-53-abrasive-fasteners-hardware.parttarget.com/coil-flat-leaf-wire-springs-SCB83184_SPR-A-14447.html"
DDG,MP5UJHMEHFV1,D5,P0,"Procurement signal ties this UEI to marine HVAC/Johnson Controls equipment.

https://www.tridentllc.com/
https://www.johnsoncontrols.com/marine-and-navy/hvac-solutions","The DDG equipment package cannot be distinguished from operating subsidiaries, making the UEI-level handoff unresolved.

https://www.tridentllc.com/
https://www.tridentllc.com/solutions
https://www.jflco.com/portfolio-details/5/lake-shore-systems"
DDG,N5KMLMXEPFM5,D5,P3,"Reverse-osmosis desalination/water-purification systems provide potable/life-support water.

https://www.parker.com/us/en/divisions/water-purification/industries/commercial-marine.html
https://www.parker.com/content/dam/Parker-com/Literature/Water-Purification/Village-Marine/Defense/7845mil.bro09.lr.pdf","Reverse-osmosis desalination/water-purification units are functional shipboard water-treatment equipment.

https://www.parker.com/content/dam/Parker-com/Literature/Water-Purification/Village-Marine/Defense/7845mil.bro09.lr.pdf
https://www.parker.com/content/dam/Parker-com/Literature/Water-Purification/Village-Marine/7873capabilites_bro.pdf"
DDG,N6P1AGPMV456,D4,P3,"Vacuum toilets, blackwater collection and sewage-pumping hardware are sanitary fluid systems.

https://evac.com/solutions/vacuum-collection/
https://govtribe.com/vendors/evac-north-america-inc-dot-47wd8","Vacuum toilets, blackwater collection equipment, and sewage-pumping hardware are functional sanitary-system equipment.

https://govtribe.com/vendors/evac-north-america-inc-dot-47wd8
https://marinevac.com/downloads/EVACcatalogue2016.pdf
https://www.militarytimes.com/2013/03/21/carrier-bush-suffers-widespread-toilet-outages/"
DDG,N9DVRB18H324,D9,P1,"Propulsion shaft forgings/shaft components are supplied by a forging-process specialist.

https://www.ellwoodcityforge.com/
https://www.ellwoodnationalforge.com/capabilities/forging/","Propulsion shaft forgings/shaft components are described as open-die forgings, indicating unfinished forging-stage inputs.

https://www.ellwoodnationalforge.com/capabilities/shafting/
https://www.ellwoodcityforge.com/
https://www.ellwoodgroup.com/markets/marine"
DDG,NL7RNBHWHJQ1,D6,P3,"Secure shipboard terminals, telephones, headsets and electronics are communications systems.

https://www.leonardodrs.com/locations/drs-technologies-canada-ottawa-ontario/
https://www.leonardodrs.com/wp-content/uploads/2023/08/drs-technology-spotlight.pdf","Shipboard terminals, telephones, headsets, and naval communications electronics are functional equipment units, not an integrated comms system.

https://www.usni.org/magazines/proceedings/2006/february/now-hear-if-you-can
https://www.sec.gov/Archives/edgar/data/28630/000104746908007086/a2185895z10-k.htm
https://www.leonardodrs.com/wp-content/uploads/2023/08/drs-catalog-2013-final-online.pdf"
DDG,NQKEVF8KEMP1,D3,P3,"Rugged power-conversion equipment and shipboard power supplies are electrical power hardware.

https://www.leonardodrs.com/locations/naval-electronics-pivotal-power-bedford-nova-scotia/
https://www.leonardodrs.com/what-we-do/our-solutions/power-propulsion/power-conversion-ups/","Shipboard power supplies are functional power-conversion/distribution equipment units.

https://www.naval-technology.com/contractors/maritime-subsystems/pivotal/
https://www.highergov.com/contract/SPE7M025P2403/
https://govtribe.com/vendors/pivotal-power-inc-dot-drs-pivotal-power-38370"
DDG,PJRYS7EFXQD9,D4,P3,"Marine ball and check valves are shipboard piping/fluid-control hardware.

https://www.bnl.com/marine-market/
https://www.bnl.com/files/2515/1795/4363/BNL_Catalog.pdf
https://www.wbparts.com/rfq/4820-01-449-5869.html","Marine ball and check valves are functional piping-control units.

https://www.bnl.com/files/2515/1795/4363/BNL_Catalog.pdf"
DDG,PQGNEEY9W5M3,D6,P3,"Integrated Bridge and Navigation System steering-control hardware is system-level navigation/control.

https://investor.northropgrumman.com/news-releases/news-release-details/northrop-grumman-provide-integrated-bridge-navigation-and
https://investor.northropgrumman.com/news-releases/news-release-details/northrop-grumman-supply-steering-gear-systems-arleigh-burke","The IBNS aft steering-control unit is a bounded control-hardware unit rather than the full integrated navigation/bridge system.

https://investor.northropgrumman.com/news-releases/news-release-details/northrop-grumman-provide-integrated-bridge-navigation-and
https://investor.northropgrumman.com/news-releases/news-release-details/northrop-grumman-supply-steering-gear-systems-arleigh-burke"
DDG,Q35JL9GFCAK3,D4,P3,"Engineered fluid-control valves and manifolds are pressure/piping-system hardware.

https://marotta.com/products/flow-controls/
https://marotta.com/products/flow-controls/shipboard-controls/","Engineered valves/manifolds are delivered as functional fluid-control units.

https://marotta.com/
https://www.marotta.com/capabilities/controls-and-power/
https://www.marotta.com/markets/marine/"
DDG,QGB4RDYJNJT9,D9,P1,"Open-die steel forgings/forged shafting reflect a material-process specialty.

https://www.ellwoodnationalforge.com/capabilities/forging/
https://www.ellwoodnationalforge.com/markets-served/shipbuilding/","Large open-die forgings/forged shafting are forging-stage inputs that require downstream machining/finishing.

https://www.ellwoodnationalforge.com/capabilities/forging/
https://www.ellwoodgroup.com/markets/marine"
DDG,QKJUKKE5WPA8,D1,P5,"Outfitted structural units and hull modules are ship structural fabrication.

https://www.workboat.com/gulf-copper-expands-work-with-huntington-ingalls-on-arleigh-burke-class-destroyers
https://www.marinelog.com/shipbuilding/shipyards/shipyard-news/gulf-copper-in-new-agreement-to-support-ingalls-with-outfitted-structural-units/","Outfitted structural units and hull modules are transferred as shipbuilding structures/modules.

https://www.workboat.com/gulf-copper-expands-work-with-huntington-ingalls-on-arleigh-burke-class-destroyers
https://www.marinelog.com/shipbuilding/shipyards/shipyard-news/gulf-copper-in-new-agreement-to-support-ingalls-with-outfitted-structural-units/
https://www.chron.com/gulf-coast/article/galveston-shipyard-navy-destroyers-contract-21155901.php"
DDG,QNEXJLA47BM4,D10,P2,"Marine furniture, accommodation fittings and interior packages are interiors/habitability outfit.

https://www.jmms.com/
https://www.workboat.com/press-releases/jamestown-metal-offshore-living-quarters-marine-interior-outfitting","Marine furniture, accommodation fittings, and joiner/interior packages are fit-ready outfitting components rather than major modules.

https://www.nist.gov/system/files/documents/el/msid/3-Robinson.pdf
https://www.jamestownmetal.com/"
DDG,QNF5KM7YJSN7,D1,P6,"Welding, fabrication and ship-repair/warranty work indicate hull/structural marine fabrication.

https://www.southcoastwelding.net/services/welding-shipfitting/
https://govtribe.com/vendors/southcoast-welding-manufacturing-llc-3yxd4","The described DDG role is welding, fabrication, ship-repair, and warranty support rather than a confirmed delivered article.

https://www.southcoastwelding.net/services/welding-shipfitting/
https://www.southcoastwelding.net/
https://govtribe.com/vendors/southcoast-welding-manufacturing-llc-3yxd4"
DDG,QV38GMJUBJQ3,D0,P6,"Broad multi-trade installation labor spans welding, pipefitting, painting and equipment installation.

https://www.highergov.com/awardee/l3harris-maritime-services-inc-10111066/
https://www.l3harris.com/all-capabilities/maritime-fabrication-and-prototyping","The role is shipyard production labor and installation services rather than equipment manufacturing.

https://www.highergov.com/awardee/l3harris-maritime-services-inc-10111066/
https://www.virginiashiprepair.org/MemberProfile/146/L3Harris-Maritime-Services
https://govtribe.com/vendors/l-3-unidyne-inc-dot-34246"
DDG,QYKAR7MJJXL7,D7,P3,"Ionization smoke detectors are component-level sensing/electronic devices.

https://www.ndt.org/vendor.asp?ObjectID=43795
https://www.meggitt.com/products-services/fire-overheat-detectors/","Ionization smoke detectors are bounded functional sensing/alarm units once connected to ship systems.

https://sam.gov/opp/ae2c10b8860c45d3999282bdceccd24a/view
https://www.parttarget.com/Meggitt-Safety-Systems-Inc_nsn-parts_905087-01_244-14322.html"
DDG,RMLGMBGNPCC8,D2,P2,"Hydrodynamic thrust and journal bearings support propulsion shaft lines/rotating machinery.

https://www.kingsbury.com/marine/
https://www.kingsbury.com/","Hydrodynamic thrust and journal bearings are finished components incorporated into propulsion shaft lines/rotating machinery.

https://www.kingsbury.com/marine/
https://www.parttarget.com/5330-01-513-4551_5330015134551_MID-7-511X561X22.html
https://enginemechanics.tpub.com/14111/css/Main-Thrust-Bearing-Clearance-Measurements-98.htm"
DDG,SKKACASET588,D6,P3,"Shipboard communications/navigation/switching equipment is system-level communications/control.

https://www.dynalec.com/products
https://www.dynalec.com/capabilities
https://www.dynalec.com/products/announcing-and-intercom","Shipboard communications/navigation/switching units are functional electronics equipment absent evidence of a configured integrated comms system.

https://www.dynalec.com/
https://www.dynalec.com/products
https://www.dynalec.com/products/announcing-and-intercom"
DDG,SLD5KEGGLLZ3,D5,P3,"Provides Navy HVAC/refrigeration and chilled-water air-conditioning plants.

https://www.highergov.com/contract-opportunity/johnson-controls-navy-systems-jcns-high-efficien-22-mmm-093-p-34e9d/
https://govtribe.com/opportunity/federal-contract-opportunity/johnson-controls-navy-systems-jcns-high-efficiency-super-capacity-hesc-air-conditioning-plants-22mmm093
https://www.johnsoncontrols.com/marine-and-navy/hvac-solutions","Shipboard HVAC/R and HESC chilled-water air-conditioning plants are functional equipment units, not outfitted modules.

https://www.highergov.com/contract-opportunity/johnson-controls-navy-systems-jcns-high-efficien-22-mmm-093-p-34e9d/
https://www.calnetix.com/newsroom/press-release/calnetix-technologies-present-paper-new-generation-high-efficiency-super
https://www.calnetix.com/newsroom/press-release/calnetix-technologies-supplies-key-components-new-us-navy-chiller-system"
DDG,SSD8KRDXKG46,D4,P3,"Halon/fire-suppression valves and suppression-system hardware control extinguishing fluids/gases.

https://hillerfire.com/applications/marine-fire-protection/
https://hillerfire.com/applications/marine-fire-protection/gaseous-agent-fire-suppression-systems/","The identified stop-check valve/fire-protection hardware is functional shipboard fluid-control equipment at handoff.

https://www.highergov.com/nsn/4820014492993/
https://hillerfire.com/"
DDG,T2VFE1NGR3G5,D6,P3,"Military training, control, communications and wireless electronics are system-level control/comms.

https://govtribe.com/vendors/drs-training-control-systems-llc-drs-technologies-12339
https://www.leonardodrs.com/who-we-are/our-segments/airborne-intelligence-systems/","Mission/control electronics are bounded functional equipment (P3). NAICS 334220. NOTE: registry flags a VLS launch-control sensitivity boundary; if P0 was a deliberate sensitivity hold, revert. [Promoted 2026-06-30 from ddg_sam_research_findings] §P4-2."
DDG,TPN7LAC6HGW3,D2,P6,"Shaft-line, propeller and seal installation/overhaul support is propulsion-system service.

https://www.wartsila.com/marine/products/shaft-line-solutions
https://www.wartsila.com/latinamer/media/03-09-2020-matthew-zirkle-joins-wartsila-defense-inc","The Poulsbo Wartsila role is installation, repair, overhaul, and parts-support service rather than a confirmed new-construction article.

https://www.wartsila.com/marine/services
https://www.wartsila.com/usa/media/local-news/27-04-2012-w%C3%A4rtsil%C3%A4-donates-controllable-pitch-propulsion-system-to-the-united-states-merchant-marine-academy"
DDG,TSCZLHCGNQ53,D4,P3,"Fuel filtration, water-separation and coalescer equipment are fluid-treatment hardware.

https://www.facetfiltration.com/
https://www.facetfiltration.com/about-us/history/
https://core-es.com/wp-content/uploads/F12423-Manual.pdf",Fuel-filtration/coalescer equipment is bounded functional equipment (P3). vendor_class_matrix work_type=piping. [Promoted 2026-06-30 from ddg_sam_research_findings] §P4-2.
DDG,U23DM4ULNLS3,D1,P5,"BAE Systems Jacksonville Ship Repair LLC is a Jacksonville, FL shipyard (NAICS 336611 Ship Building and Repairing). Its DDG work under prime N0002418C2307 is hull grand-block fabrication ('DDG 137 SOW UNIT OUTSOURCING (GB B15)') = marine structural fabrication. The prior Mk 45 naval-gun rationale belongs to a different BAE Systems UEI (the naval-gun business), not this ship-repair entity. [reclassified D6->D1 2026-06-24]","Delivers an erectable DDG hull grand block (DDG 137 GB B15) outsourced by HII-Ingalls as a defined shipbuilding unit -> outfitted structure / ship module, the same work as Gulf Copper and Eastern Shipbuilding on this hull. Prior 'integrated gun system (P4)' was a BAE brand mismatch to another UEI. [reclassified P4->P5 2026-06-24]"
DDG,XJTAAHL58NB6,D1,P5,"Eastern Shipbuilding Group, Inc. (UEI XJTAAHL58NB6; Panama City, FL; NAICS 336611) builds hull units/grand blocks. DDG subawards under prime N0002418C2307 are 'DDG 135/137/139 SOW UNIT OUTSOURCING' incl. 'C15GB' = marine structural fabrication. Sept 2025 HII/Ingalls-ESG agreement formalized ESG production of outfitted structural units for Flight III DDG-51s.

https://maritime-executive.com/article/ingalls-subcontracts-out-destroyer-blocks-to-eastern-shipbuilding","Delivers erectable DDG hull grand blocks/units (e.g. DDG 137 C15 GB) outsourced by HII-Ingalls -> outfitted structure / ship module (P5), same work as Gulf Copper. Reported FFATA subawards ($5.65M, FY25, 3 records) capture only the pilot phase and understate the relationship. [added 2026-06-24]

https://maritime-executive.com/corporate/eastern-shipbuilding-group-supports-unit-production-of-u-s-navy-destroyers"
DDG,U864F3HRME53,D3,P3,"Naval power conversion, distribution, drives and controls are ship-service electrical power hardware.

https://www.gevernova.com/power-conversion/product-solutions/Naval-Electric-Power-Propulsion
https://www.gevernova.com/power-conversion/industries/Marine/Naval","Power-conversion, distribution, drive, automation, and control hardware are bounded functional shipboard power/control equipment.

https://www.gevernova.com/power-conversion/product-solutions/Naval-Electric-Power-Propulsion
https://www.gevernova.com/power-conversion/industries/Marine/Naval
https://www.highergov.com/awardee/ge-energy-power-conversion-naval-systems-inc-10114570/"
DDG,V1MQFNQB56Z5,D4,P3,"High-pressure air compressors supply shipboard compressed-air systems.

https://www.rixindustries.com/shipboard-air-compressor
https://www.rixindustries.com/rix-industries-awarded-us-navy-contract","High-pressure air compressors are functional shipboard compressed-air machinery.

https://www.rixindustries.com/rix-awarded-ddg-51-flight-iii-compressor-contract-successor-new-large-surface-combatant-program
https://www.rixindustries.com/star-series
https://www.rixindustries.com/family-ties-celebrated-with-rix-industries-compressors-welcomed-aboard-uss-rafael-peralta"
DDG,V8HGGNTGDH59,D4,P3,"Air-moisture separation and filtration for gas-turbine intakes is gas/fluid filtration hardware.

https://www.globenewswire.com/news-release/2012/09/18/491345/10774/en/pmfg-inc-parent-of-peerless-mfg-co-notice-of-award-valued-at-13-7-million-to-supply-air-moisture-separation-and-filtration-systems-to-u-s-navy.html
https://patents.google.com/patent/US5653786A/en","Air-moisture separation/filtration systems for gas-turbine intakes are functional air-treatment equipment.

https://asmedigitalcollection.asme.org/GT/proceedings-pdf/GT1995/78798/V002T03A002/4457321/v002t03a002-95-gt-055.pdf
https://www.cecoenviro.com/peerless-mfg"
DDG,VJMTKNLENX24,D5,P2,"Custom evaporator/condenser coils and air coolers are HVAC/refrigeration heat-transfer equipment.

https://www.marlocoil.com/
https://www.leonardodrs.com/wp-content/uploads/2023/08/2019-marine-hvac-catalog_final3.pdf
https://govtribe.com/vendors/engineered-coil-company-drs-marlo-coil-38450","Evaporator/condenser coils and air-cooler coils are fit-ready heat-transfer components built into HVAC/R equipment.

https://www.leonardodrs.com/what-we-do/products-and-services/navy-and-marine-coils/
https://www.marlocoil.com/proud-of-our-military-work/
https://www.marlocoil.com/applications/"
DDG,WPP2ABN6UCF5,D6,P3,"Machinery-control and monitoring consoles/panels/alarms are system-level control equipment.

https://seawaves.com/wp-content/uploads/2022/09/USN-Contracts-2020-1-1.pdf
https://magazines.marinelink.com/Magazines/MaritimeReporter/198107/content/shipboard-automation-monitoring-205266","Operator consoles, control panels, alarms, and shipboard control electronics are functional control/monitoring equipment units.

https://www.l3harris.com/
https://www.l3harris.com/all-capabilities/integrated-platform-management-system
https://www.l3harris.com/all-capabilities/power-distribution-panels-control-console-workstation-and-panel-boards"
DDG,WSK3WRSGKAU1,D4,P3,"Fuel purifiers remove water/solids from fuel-transfer fluid streams.

https://www.alfalaval.us/industries/marine-and-transportation/engine-and-transport/fuel-cleaning/
https://www.alfalaval.us/products/separation/centrifugal-separators/separators/s-and-p-flex/","Self-cleaning centrifugal fuel purifiers are functional fuel-treatment machinery.

https://www.alfalaval.us/products/separation/centrifugal-separators/
https://www.scribd.com/document/340313779/S9086-SN-STM-010-Ch-541-Ship-Fuel-and-Fuel-Systems-Rev-9"
DDG,WUDSRNBSYC17,D2,P2,"[MECE 2026-06-20: D9->D2 firm-level reclassification, ship application determinable] Forged marine propulsion/stern shafting is supplied by a forging/process-specialist shop.

https://www.erieforge.com/products-services/
https://www.highergov.com/vehicle/navsup-surface-shafts-idiq-7734/","Forged propulsion/stern shafting is delivered as a finished fit-ready shaft component, not powered machinery.

https://www.erieforge.com/
https://www.erieforge.com/products-services
https://govtribe.com/vendors/erie-forge-and-steel-inc-dot-efs-1f460"
DDG,XYNDM1Y7XGG7,D2,P2,"Line-shaft, stern-tube, strut and thrust bearings support the propulsion shaft line.

https://www.ambco.net/water-lubricated-bearings
https://www.ambco.net/lineshaft-bearings
https://www.ambco.net/bearing-propulsion-systems","Line-shaft, stern-tube, strut, and thrust bearings are finished propulsion components built into shafting machinery.

https://www.ambco.net/lineshaft-bearings
https://www.ambco.net/thrust-bearings
https://www.ambco.net/our-story"
DDG,YELYMYLF82L9,D8,P3,"Slewing-arm boat-davit system is boat-handling/deck machinery.

https://www.lakeshoresys.com/marine-and-defense/cranes/
https://sam.gov/opp/d96a6580660c40c199779fc51724f9be/view","The slewing-arm boat davit is a bounded deck-machinery unit that performs its launch/recovery function once installed.

https://www.lakeshoresys.com/marine-and-defense/cranes/
https://www.highergov.com/contract-opportunity/boat-davit-parts-n50054-18-t-0021-r-d05a0/
https://www.highergov.com/subcontract/N0002419C4452-07682ATTXC/"
DDG,YYVHWZMPP3F8,D3,P3,"Switchboards, load centers, conversion and motor-control equipment distribute ship service power.

https://www.leonardodrs.com/what-we-do/products-and-services/marine-switchboards-and-loadcenters/
https://www.leonardodrs.com/who-we-are/our-segments/naval-power-systems/","Switchboards, load centers, power-conversion, motor-control, drive, and automation/control equipment are functional shipboard power units.

https://www.leonardodrs.com/what-we-do/products-and-services/marine-switchboards-and-loadcenters/"
DDG,Z89SS59265U9,D3,P3,"Power electronics, transformers, grounding transformers and static switches are power-conversion/distribution hardware.

https://www.espey.com/products/integrated-power-systems/
https://www.espey.com/products/military-power-systems-magnetics/","Power electronics, transformers, static switches, and power-distribution/protection equipment are functional electrical units.

https://www.espey.com/products/integrated-power-systems/
https://www.espey.com/products/military-power-systems-magnetics/"
DDG,ZA1KMNAJMVT3,D10,P2,"Interior deck coverings/flooring are shipboard interior outfit.

https://www.surfacetechnologiescorp.com/
https://govtribe.com/vendors/surface-technologies-corporation-1dz42","Interior deck coverings/flooring are finished outfitting materials/components installed on the ship, not a configured system.

https://www.highergov.com/subcontract/N0002413C2307-1074530-4/
https://www.arl.psu.edu/wp-content/uploads/filr/2456/IMAST%202017-2018%20Annual%20Report.pdf"
DDG,ZLM5NQE8LSR8,D5,P3,"IMECO (J.F. Lehman) is a marine HVAC/electrical/machinery integrator, HVAC-dominant -> D5. NAICS 333415. [Promoted 2026-06-30 from ddg_sam_research_findings] §P4-2.","The identified motor-and-brake assembly is a bounded functional electromechanical unit, not a full integrated package.

https://govtribe.com/opportunity/federal-contract-opportunity/slew-motor-and-brake-n0040621r0018
https://www.jflco.com/portfolio-details/5/lake-shore-systems
https://directory.marinelink.com/companies/company/imeco-inc-206288"
DDG,ZW3UMG9YVNA9,D3,P3,"MIL-SPEC switchboards and load centers are shipboard electrical distribution hardware.

https://www.l3harris.com/all-capabilities/military-specification-switchboards-and-load-centers
https://www.l3harris.com/all-capabilities/marine-power-distribution
https://govtribe.com/vendors/l-3-communications-westwood-corporation-l-3-westwood-3feq2","MIL-SPEC switchboards and load centers are functional electrical-distribution equipment once installed.

https://www.l3harris.com/all-capabilities/military-specification-switchboards-and-load-centers
https://www.l3harris.com/all-capabilities/power-distribution-panels-control-console-workstation-and-panel-boards
https://govtribe.com/vendors/l-3-communications-westwood-corporation-l-3-westwood-3feq2"
DDG,N1PJDANWUJ61,D2,P1,"[MECE 2026-06-20: D9->D2 firm-level reclassification, ship application determinable] (was map-resolved D9 via NAICS)",Iron/steel forgings are raw/semi-finished stock (P1). Registry castings/forgings (high); NAICS 332111. [Promoted 2026-06-30 from ddg_sam_research_findings] §P4-3.
DDG,CBMZJ3Z5SC89,D1,P2,"[MECE 2026-06-20: D9->D1 firm-level reclassification, ship application determinable] (was map-resolved D9 via NAICS)",Goodrich/Collins Engineered Polymer Products acoustic/coating parts are finished components (P2). Registry coatings. [Promoted 2026-06-30 from ddg_sam_research_findings] §P4-3.
DDG,S3GFGJ1QGAE6,D9,P2,M.S.M. Industries: rubber/mechanical-use products -> D9 material process. Registry coatings (high); NAICS 326291. [Promoted 2026-06-30 from ddg_sam_research_findings] §P4-3.,Finished mechanical-use components (P2). [Promoted 2026-06-30 from ddg_sam_research_findings] §P4-3.
DDG,NYGUEDY27AM8,D4,P3,Curtiss-Wright Flow Control: industrial valves -> D4 fluid/piping. Registry piping (high); NAICS 332911. [Promoted 2026-06-30 from ddg_sam_research_findings] §P4-3.,Valves are bounded functional equipment (P3). [Promoted 2026-06-30 from ddg_sam_research_findings] §P4-3.
DDG,GV6WMAJUK1R9,D1,P2,Sioux Manufacturing: structural fabrication -> D1 structural. Registry structural (high); name/registry basis (no SAM NAICS). [Promoted 2026-06-30 from ddg_sam_research_findings] §P4-3.,Fabricated structural component (P2). [Promoted 2026-06-30 from ddg_sam_research_findings] §P4-3.
DDG,MSYWUDGYPKF5,D4,P3,Everest Kanto Cylinder: high-pressure gas cylinders -> D4 fluid/piping (alt D1). Registry structural (high); NAICS 332420 heavy-gauge tank. [Promoted 2026-06-30 from ddg_sam_research_findings] §P4-3.,High-pressure cylinders are bounded functional equipment (P3). [Promoted 2026-06-30 from ddg_sam_research_findings] §P4-3.
DDG,HUYTR5ZGSSN6,D4,P3,W. & O. Supply: marine pipe/valve/fittings distributor -> D4 fluid/piping. Registry piping (high). [Promoted 2026-06-30 from ddg_sam_research_findings] §P4-3.,Pipe/valve/fittings are bounded functional equipment (P3). [Promoted 2026-06-30 from ddg_sam_research_findings] §P4-3.
DDG,LGVPVLMRHH51,D4,P3,W. & O. Supply (UEI variant): marine pipe/valve/fittings distributor -> D4 fluid/piping. Registry piping (high). [Promoted 2026-06-30 from ddg_sam_research_findings] §P4-3.,Pipe/valve/fittings are bounded functional equipment (P3). [Promoted 2026-06-30 from ddg_sam_research_findings] §P4-3.
DDG,RLXQHCXFT513,D4,P2,Citadel Capital pipe-fab portfolio: fabricated pipe/fittings -> D4 fluid/piping. Registry piping (high); NAICS 332996. [Promoted 2026-06-30 from ddg_sam_research_findings] §P4-3.,Fabricated pipe/fittings are finished components (P2). [Promoted 2026-06-30 from ddg_sam_research_findings] §P4-3.
DDG,DJG7NEG7QRK5,D4,P3,Arcline valve portfolio: industrial valves -> D4 fluid/piping. Registry piping (high); NAICS 332911. [Promoted 2026-06-30 from ddg_sam_research_findings] §P4-3.,Valves are bounded functional equipment (P3). [Promoted 2026-06-30 from ddg_sam_research_findings] §P4-3.
DDG,WVW5FMYALEL6,D3,P3,Plainville Electrical Products: switchgear -> D3 electrical power. Registry electrical (high); NAICS 335313. [Promoted 2026-06-30 from ddg_sam_research_findings] §P4-3.,Switchgear is bounded functional equipment (P3). [Promoted 2026-06-30 from ddg_sam_research_findings] §P4-3.
DDG,NTREK31GP8N3,D7,P2,Ksaria Corporation: fiber-optic interconnect -> D7 instruments/electronic. Registry electrical (high); NAICS 334417. [Promoted 2026-06-30 from ddg_sam_research_findings] §P4-3.,Electronic connectors are finished components (P2). [Promoted 2026-06-30 from ddg_sam_research_findings] §P4-3.
DDG,FWF8QBPCGLG3,D9,P2,General Tool Company: machining -> D9 material process. Registry machining (med); NAICS 336419. [Promoted 2026-06-30 from ddg_sam_research_findings] §P4-3.,Machined finished components (P2). [Promoted 2026-06-30 from ddg_sam_research_findings] §P4-3.
