Subawardee UEI,Subawardee Vendor Name,Subawardee DBA Name,Parent UEI,Parent Vendor Name,Subaward Report ID,Subaward Report Number,Subaward Number,Subaward Date,Submitted Date,Subaward Amount $,Subaward Description,Subawardee Street Address,Subawardee Street Address 2,Subawardee City,Subawardee Congressional District,Subawardee State Code,Subawardee State Name,Country Code,Country Name,Subawardee ZIP,Business Type Codes,Business Type Names,Top Pay Salaries,Top Pay Employee Names,Prime PIID,Prime Contract Key,Agency ID,Referenced IDV PIID,Referenced IDV Agency ID,Prime Award Type,Total Contract Value $,Base Award Date Signed,Prime Entity UEI,Prime Entity Name,Description of Requirement,Prime NAICS,Prime NAICS Description,Funding Agency Code,Funding Agency Name,Funding Office Code,Funding Office Name,Funding Department Code,Funding Department Name,Contracting Agency Code,Contracting Agency Name,Contracting Office Code,Contracting Office Name,Contracting Department Code,Contracting Department Name,HII Work-Item Code,Builder,SWBS Subsystem,SWBS,SWBS basis,Direct Hull Text,Direct Hull Count,Prime Requirement Hull Text,Prime Requirement Hull Count,Lifecycle Stage,Lifecycle Stage Basis,Date Source Confidence,Narrowing Result,Lifecycle Confidence
QKJUKKE5WPA8,GULF COPPER & MANUFACTURING CORPORATION,,,,21030969,bff9a048-fcba-11ef-8e2a-e7034f2d18cd,11496-0,2024-11-05,2025-01-09,2022798.8,DDG 137 SOW UNIT OUTSOURCING (D41/D42),5700 PROCTER ST EXT,,port arthur,14,TX,Texas,USA,United States,77642,2X,For-Profit Organization,,,N0002418C2307,CONT_AWD_N0002418C2307_9700_-NONE-_-NONE-,9700,,,AWARD,6.40674494985E9,2024-12-19,C3NLZNSMU254,HUNTINGTON INGALLS INCORPORATED,"PR-162317 INSTALL DOOR RELEASE PUSH BUTTON IN CSMC 01-130-0-C
CONSTRUCTION OF DDG 51 SHIP
FIRM SHIP FY19 DDG131
FIRM SHIP FY20 DDG133
OPTION SHIP FY20 DDG135
FIRM SHIP FY21 DDG137
FIRM SHIP FY22 DDG139",336611,336611 -- Ship Building and Repairing,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N69316,SUP OF SHIPBUILDING CONV AND REPAIR,9700,DEPT OF DEFENSE,,HII-Ingalls,,,,DDG 137,1,DDG 131 / DDG 133 / DDG 135 / DDG 137 / DDG 139,5,Long-lead,Nov 2024 in DDG 137 long-lead window (before fabrication start),Projected,,
QKJUKKE5WPA8,GULF COPPER & MANUFACTURING CORPORATION,,,,21030970,bff9a30e-fcba-11ef-8e2a-e7034f2d18cd,13312-0,2024-12-13,2025-01-09,3195915.09,DDG 137 SOW UNIT OUTSOURCING (D52),5700 PROCTER ST EXT,,port arthur,14,TX,Texas,USA,United States,77642,2X,For-Profit Organization,,,N0002418C2307,CONT_AWD_N0002418C2307_9700_-NONE-_-NONE-,9700,,,AWARD,6.40674494985E9,2024-12-19,C3NLZNSMU254,HUNTINGTON INGALLS INCORPORATED,"PR-162317 INSTALL DOOR RELEASE PUSH BUTTON IN CSMC 01-130-0-C
CONSTRUCTION OF DDG 51 SHIP
FIRM SHIP FY19 DDG131
FIRM SHIP FY20 DDG133
OPTION SHIP FY20 DDG135
FIRM SHIP FY21 DDG137
FIRM SHIP FY22 DDG139",336611,336611 -- Ship Building and Repairing,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N69316,SUP OF SHIPBUILDING CONV AND REPAIR,9700,DEPT OF DEFENSE,,HII-Ingalls,,,,DDG 137,1,DDG 131 / DDG 133 / DDG 135 / DDG 137 / DDG 139,5,Long-lead,Dec 2024 in DDG 137 long-lead window (before fabrication start),Projected,,
QKJUKKE5WPA8,GULF COPPER & MANUFACTURING CORPORATION,,,,21030968,bff99d78-fcba-11ef-8e2a-e7034f2d18cd,13827-0,2024-12-20,2025-01-09,1678498.34,"DDG 137 SOW UNIT OUTSOURCING (D11, D21, D31)",5700 PROCTER ST EXT,,port arthur,14,TX,Texas,USA,United States,77642,2X,For-Profit Organization,,,N0002418C2307,CONT_AWD_N0002418C2307_9700_-NONE-_-NONE-,9700,,,AWARD,6.40674494985E9,2024-12-19,C3NLZNSMU254,HUNTINGTON INGALLS INCORPORATED,"PR-162317 INSTALL DOOR RELEASE PUSH BUTTON IN CSMC 01-130-0-C
CONSTRUCTION OF DDG 51 SHIP
FIRM SHIP FY19 DDG131
FIRM SHIP FY20 DDG133
OPTION SHIP FY20 DDG135
FIRM SHIP FY21 DDG137
FIRM SHIP FY22 DDG139",336611,336611 -- Ship Building and Repairing,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N69316,SUP OF SHIPBUILDING CONV AND REPAIR,9700,DEPT OF DEFENSE,,HII-Ingalls,,,,DDG 137,1,DDG 131 / DDG 133 / DDG 135 / DDG 137 / DDG 139,5,Long-lead,Dec 2024 in DDG 137 long-lead window (before fabrication start),Projected,,
QKJUKKE5WPA8,GULF COPPER & MANUFACTURING CORPORATION,,,,29270373,d282f89d-691a-4ea7-a067-657edcb86136,2009-2,2025-03-12,2025-05-23,682642.98,DDG 135 SOW UNIT OUTSOURCING (GULF COPPER),5700 PROCTER ST EXT,,PORT ARTHUR,14,TX,TEXAS,USA,UNITED STATES,77642,2X; F,For Profit Organization; Business or Organization,,,N0002418C2307,CONT_AWD_N0002418C2307_9700_-NONE-_-NONE-,9700,,,AWARD,6.42266627585E9,2018-09-27,C3NLZNSMU254,HUNTINGTON INGALLS INCORPORATED,FY18-FY22 DDG 51 CLASS SHIP CONSTRUCTION,336611,SHIP BUILDING AND REPAIRING,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,,HII-Ingalls,,,,DDG 135,1,,0,Construction,Mar 2025 within DDG 135 construction window,Projected,,
QKJUKKE5WPA8,GULF COPPER & MANUFACTURING CORPORATION,,,,29270363,982f2543-fbe3-46af-a331-69cdd491f607,16979-0,2025-03-27,2025-05-23,2563805.27,DDG 137 SOW UNIT OUTSOURCING (GB A16 & A21),5700 PROCTER ST EXT,,PORT ARTHUR,14,TX,TEXAS,USA,UNITED STATES,77642,2X; F,For Profit Organization; Business or Organization,,,N0002418C2307,CONT_AWD_N0002418C2307_9700_-NONE-_-NONE-,9700,,,AWARD,6.42266627585E9,2018-09-27,C3NLZNSMU254,HUNTINGTON INGALLS INCORPORATED,FY18-FY22 DDG 51 CLASS SHIP CONSTRUCTION,336611,SHIP BUILDING AND REPAIRING,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,,HII-Ingalls,,,,DDG 137,1,,0,Long-lead,Mar 2025 in DDG 137 long-lead window (before fabrication start),Projected,,
QKJUKKE5WPA8,GULF COPPER & MANUFACTURING CORPORATION,,,,29270671,b9e7e335-931c-4359-835a-89cbad3a0b33,11496-2,2025-03-28,2025-05-23,-229595.47,DDG 137 SOW UNIT OUTSOURCING (D41/D42),5700 PROCTER ST EXT,,PORT ARTHUR,14,TX,TEXAS,USA,UNITED STATES,77642,2X; F,For Profit Organization; Business or Organization,,,N0002418C2307,CONT_AWD_N0002418C2307_9700_-NONE-_-NONE-,9700,,,AWARD,6.42266627585E9,2018-09-27,C3NLZNSMU254,HUNTINGTON INGALLS INCORPORATED,FY18-FY22 DDG 51 CLASS SHIP CONSTRUCTION,336611,SHIP BUILDING AND REPAIRING,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,,HII-Ingalls,,,,DDG 137,1,,0,Long-lead,Mar 2025 in DDG 137 long-lead window (before fabrication start),Projected,,
QKJUKKE5WPA8,GULF COPPER & MANUFACTURING CORPORATION,,,,29286379,88dd4d7d-fdab-4aa3-a87f-1372b91135b9,11496-3,2025-05-22,2025-05-29,717782.0,DDG 137 SOW UNIT OUTSOURCING (D41/D42),5700 PROCTER ST EXT,,PORT ARTHUR,14,TX,TEXAS,USA,UNITED STATES,77642,2X; F,For Profit Organization; Business or Organization,,,N0002418C2307,CONT_AWD_N0002418C2307_9700_-NONE-_-NONE-,9700,,,AWARD,6.42301366285E9,2018-09-27,C3NLZNSMU254,HUNTINGTON INGALLS INCORPORATED,FY18-FY22 DDG 51 CLASS SHIP CONSTRUCTION,336611,SHIP BUILDING AND REPAIRING,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,,HII-Ingalls,,,,DDG 137,1,,0,Long-lead,May 2025 in DDG 137 long-lead window (before fabrication start),Projected,,
QKJUKKE5WPA8,GULF COPPER & MANUFACTURING CORPORATION,,,,29309399,200edf90-e2d4-4a70-93da-f1496015f7df,13312-2,2025-06-06,2025-06-09,-157873.0,DDG 137 SOW UNIT OUTSOURCING (D52),5700 PROCTER ST EXT,,PORT ARTHUR,14,TX,TEXAS,USA,UNITED STATES,77642,2X; F,For Profit Organization; Business or Organization,,,N0002418C2307,CONT_AWD_N0002418C2307_9700_-NONE-_-NONE-,9700,,,AWARD,6.42301366285E9,2018-09-27,C3NLZNSMU254,HUNTINGTON INGALLS INCORPORATED,FY18-FY22 DDG 51 CLASS SHIP CONSTRUCTION,336611,SHIP BUILDING AND REPAIRING,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,,HII-Ingalls,,,,DDG 137,1,,0,Long-lead,Jun 2025 in DDG 137 long-lead window (before fabrication start),Projected,,
QKJUKKE5WPA8,GULF COPPER & MANUFACTURING CORPORATION,,,,29334500,11fa046d-f2f0-405e-8879-c6884e51f537,13827-2,2025-06-16,2025-06-23,737479.0,DDG 137 GRAND BLOCK,5700 PROCTER ST EXT,,PORT ARTHUR,14,TX,TEXAS,USA,UNITED STATES,77642,2X; F,For Profit Organization; Business or Organization,,,N0002418C2307,CONT_AWD_N0002418C2307_9700_-NONE-_-NONE-,9700,,,AWARD,6.45502175185E9,2018-09-27,C3NLZNSMU254,HUNTINGTON INGALLS INCORPORATED,FY18-FY22 DDG 51 CLASS SHIP CONSTRUCTION,336611,SHIP BUILDING AND REPAIRING,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,,HII-Ingalls,,,,DDG 137,1,,0,Long-lead,Jun 2025 in DDG 137 long-lead window (before fabrication start),Projected,,
QKJUKKE5WPA8,GULF COPPER & MANUFACTURING CORPORATION,,,,29358833,6ed80e1c-be4e-416d-81cd-20c3240ee922,16979-1,2025-06-24,2025-06-30,-98866.0,DDG 137 SOW UNIT OUTSOURCING (GB A16 & A21),5700 PROCTER ST EXT,,PORT ARTHUR,14,TX,TEXAS,USA,UNITED STATES,77642,2X; F,For Profit Organization; Business or Organization,,,N0002418C2307,CONT_AWD_N0002418C2307_9700_-NONE-_-NONE-,9700,,,AWARD,6.63374195385E9,2018-09-27,C3NLZNSMU254,HUNTINGTON INGALLS INCORPORATED,FY18-FY22 DDG 51 CLASS SHIP CONSTRUCTION,336611,SHIP BUILDING AND REPAIRING,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,,HII-Ingalls,,,,DDG 137,1,,0,Long-lead,Jun 2025 in DDG 137 long-lead window (before fabrication start),Projected,,
QKJUKKE5WPA8,GULF COPPER & MANUFACTURING CORPORATION,,,,29462904,80704685-edf8-4ccd-af2b-0039e48141ff,24032-0,2025-08-07,2025-08-11,5008748.0,DDG 137 SOW UNIT OUTSOURCING (GB B43 & B13),5700 PROCTER ST EXT,,PORT ARTHUR,14,TX,TEXAS,USA,UNITED STATES,77642,2X; F,For Profit Organization; Business or Organization,,,N0002418C2307,CONT_AWD_N0002418C2307_9700_-NONE-_-NONE-,9700,,,AWARD,6.67771885437E9,2018-09-27,C3NLZNSMU254,HUNTINGTON INGALLS INCORPORATED,FY18-FY22 DDG 51 CLASS SHIP CONSTRUCTION,336611,SHIP BUILDING AND REPAIRING,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,,HII-Ingalls,,,,DDG 137,1,,0,Long-lead,Aug 2025 in DDG 137 long-lead window (before fabrication start),Projected,,
QKJUKKE5WPA8,GULF COPPER & MANUFACTURING CORPORATION,,,,29638165,76d9b482-35b8-41bc-b2f1-3dbcdf3b93b0,13312-3,2025-10-22,2025-10-27,8199964.0,DDG 137 SOW UNIT OUTSOURCING (D52),5700 PROCTER ST EXT,,PORT ARTHUR,14,TX,TEXAS,USA,UNITED STATES,77642,2X; F,For Profit Organization; Business or Organization,,,N0002418C2307,CONT_AWD_N0002418C2307_9700_-NONE-_-NONE-,9700,,,AWARD,6.70821352537E9,2018-09-27,C3NLZNSMU254,HUNTINGTON INGALLS INCORPORATED,FY18-FY22 DDG 51 CLASS SHIP CONSTRUCTION,336611,SHIP BUILDING AND REPAIRING,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,,HII-Ingalls,,,,DDG 137,1,,0,Long-lead,Oct 2025 in DDG 137 long-lead window (before fabrication start),Projected,,
QKJUKKE5WPA8,GULF COPPER & MANUFACTURING CORPORATION,,,,29801565,836c2eea-fc2f-4cdb-a460-060b8774882c,13312-4,2025-10-30,2025-12-19,-7189504.0,DDG 137 SOW UNIT OUTSOURCING (D52),5700 PROCTER ST EXT,,PORT ARTHUR,14,TX,TEXAS,USA,UNITED STATES,77642,2X; F,For Profit Organization; Business or Organization,,,N0002418C2307,CONT_AWD_N0002418C2307_9700_-NONE-_-NONE-,9700,,,AWARD,6.72198536174E9,2018-09-27,C3NLZNSMU254,HUNTINGTON INGALLS INCORPORATED,FY18-FY22 DDG 51 CLASS SHIP CONSTRUCTION,336611,SHIP BUILDING AND REPAIRING,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,,HII-Ingalls,,,,DDG 137,1,,0,Long-lead,Oct 2025 in DDG 137 long-lead window (before fabrication start),Projected,,
QKJUKKE5WPA8,GULF COPPER & MANUFACTURING CORPORATION,,,,29801620,31bf9a97-1c59-4add-abe2-62d653edc3ed,29106-0,2025-11-07,2025-12-19,4722294.0,DDG 139 SOW UNIT OUTSOURCING (GB D52),5700 PROCTER ST EXT,,PORT ARTHUR,14,TX,TEXAS,USA,UNITED STATES,77642,2X; F,For Profit Organization; Business or Organization,,,N0002418C2307,CONT_AWD_N0002418C2307_9700_-NONE-_-NONE-,9700,,,AWARD,6.72198536174E9,2018-09-27,C3NLZNSMU254,HUNTINGTON INGALLS INCORPORATED,FY18-FY22 DDG 51 CLASS SHIP CONSTRUCTION,336611,SHIP BUILDING AND REPAIRING,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,,HII-Ingalls,,,,DDG 139,1,,0,Long-lead,Nov 2025 in DDG 139 long-lead window (before fabrication start),Projected,,
QKJUKKE5WPA8,GULF COPPER & MANUFACTURING CORPORATION,,,,29801725,cddcd596-2a6a-4e0f-9374-8ea63d21b7a0,16979-2,2025-11-21,2025-12-19,1235785.0,DDG 137 SOW UNIT OUTSOURCING (GB A16 & A21),5700 PROCTER ST EXT,,PORT ARTHUR,14,TX,TEXAS,USA,UNITED STATES,77642,2X; F,For Profit Organization; Business or Organization,,,N0002418C2307,CONT_AWD_N0002418C2307_9700_-NONE-_-NONE-,9700,,,AWARD,6.72198536174E9,2018-09-27,C3NLZNSMU254,HUNTINGTON INGALLS INCORPORATED,FY18-FY22 DDG 51 CLASS SHIP CONSTRUCTION,336611,SHIP BUILDING AND REPAIRING,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,,HII-Ingalls,,,,DDG 137,1,,0,Long-lead,Nov 2025 in DDG 137 long-lead window (before fabrication start),Projected,,
QKJUKKE5WPA8,GULF COPPER & MANUFACTURING CORPORATION,,,,29801951,75ea7021-8539-47da-a200-3b63421a6d66,16979-3,2025-12-10,2025-12-19,1664968.0,DDG 137 SOW UNIT OUTSOURCING (GB A16 & A21),5700 PROCTER ST EXT,,PORT ARTHUR,14,TX,TEXAS,USA,UNITED STATES,77642,2X; F,For Profit Organization; Business or Organization,,,N0002418C2307,CONT_AWD_N0002418C2307_9700_-NONE-_-NONE-,9700,,,AWARD,6.72198536174E9,2018-09-27,C3NLZNSMU254,HUNTINGTON INGALLS INCORPORATED,FY18-FY22 DDG 51 CLASS SHIP CONSTRUCTION,336611,SHIP BUILDING AND REPAIRING,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,,HII-Ingalls,,,,DDG 137,1,,0,Long-lead,Dec 2025 in DDG 137 long-lead window (before fabrication start),Projected,,
QKJUKKE5WPA8,GULF COPPER & MANUFACTURING CORPORATION,,,,29844837,0f8f1ebb-0582-4957-ba31-83362c4bfa88,13312-5,2025-12-18,2026-01-09,6834415.0,DDG 137 SOW UNIT OUTSOURCING (D52),5700 PROCTER ST EXT,,PORT ARTHUR,14,TX,TEXAS,USA,UNITED STATES,77642,2X; F,For Profit Organization; Business or Organization,,,N0002418C2307,CONT_AWD_N0002418C2307_9700_-NONE-_-NONE-,9700,,,AWARD,6.72200463574E9,2018-09-27,C3NLZNSMU254,HUNTINGTON INGALLS INCORPORATED,FY18-FY22 DDG 51 CLASS SHIP CONSTRUCTION,336611,SHIP BUILDING AND REPAIRING,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,,HII-Ingalls,,,,DDG 137,1,,0,Long-lead,Dec 2025 in DDG 137 long-lead window (before fabrication start),Projected,,
U23DM4ULNLS3,BAE SYSTEMS JACKSONVILLE SHIP REPAIR LLC,BAE SYSTEMS JACKSONVILLE SHIP REPAIR,HPDLRXR4FYX5,BAE SYSTEMS PLC,29270377,c706e6fd-7c96-43d8-a063-83cc453ca7d9,17067-0,2025-03-25,2025-05-23,8265089.0,DDG 137 SOW UNIT OUTSOURCING (GB B15),8500 HECKSCHER DR,,JACKSONVILLE,04,FL,FLORIDA,USA,UNITED STATES,32226,20; 2X; F; MF,Foreign Owned; For Profit Organization; Business or Organization; Manufacturer of Goods,4642169; 1363403; 1461684; 1290892; 1076891,Thomas Arseneault; Alice  Eldridge; Jeremy Tondreault; Michelle  Murphy; Robert Plummer,N0002418C2307,CONT_AWD_N0002418C2307_9700_-NONE-_-NONE-,9700,,,AWARD,6.42266627585E9,2018-09-27,C3NLZNSMU254,HUNTINGTON INGALLS INCORPORATED,FY18-FY22 DDG 51 CLASS SHIP CONSTRUCTION,336611,SHIP BUILDING AND REPAIRING,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,,HII-Ingalls,,,,DDG 137,1,,0,Long-lead,Mar 2025 in DDG 137 long-lead window (before fabrication start),Projected,,
U23DM4ULNLS3,BAE SYSTEMS JACKSONVILLE SHIP REPAIR LLC,BAE SYSTEMS JACKSONVILLE SHIP REPAIR,HPDLRXR4FYX5,BAE SYSTEMS PLC,29844841,3acd1a3d-8bd1-49fe-8603-380f7bb640a5,17067-2,2025-12-17,2026-01-09,9450000.0,DDG 137 SOW UNIT OUTSOURCING (GB B15),8500 HECKSCHER DR,,JACKSONVILLE,04,FL,FLORIDA,USA,UNITED STATES,32226,20; 2X; F; MF,Foreign Owned; For Profit Organization; Business or Organization; Manufacturer of Goods,4642169; 1363403; 1461684; 1290892; 1076891,Thomas Arseneault; Alice  Eldridge; Jeremy Tondreault; Michelle  Murphy; Robert Plummer,N0002418C2307,CONT_AWD_N0002418C2307_9700_-NONE-_-NONE-,9700,,,AWARD,6.72200463574E9,2018-09-27,C3NLZNSMU254,HUNTINGTON INGALLS INCORPORATED,FY18-FY22 DDG 51 CLASS SHIP CONSTRUCTION,336611,SHIP BUILDING AND REPAIRING,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,,HII-Ingalls,,,,DDG 137,1,,0,Long-lead,Dec 2025 in DDG 137 long-lead window (before fabrication start),Projected,,
XJTAAHL58NB6,"EASTERN SHIPBUILDING GROUP, INC.",EASTERN SHIPBUILDING GROUP INC,XJTAAHL58NB6,"EASTERN SHIPBUILDING GROUP, INC.",29270372,7faeca1f-594f-4f19-ae15-06fff3c3a6d2,2002-2,2025-03-07,2025-05-23,217320.67,DDG 135 SOW UNIT OUTSOURCING (EASTERN),2200 NELSON AVE,,PANAMA CITY,02,FL,FLORIDA,USA,UNITED STATES,32401,2X; F; MF; XS,For Profit Organization; Business or Organization; Manufacturer of Goods; Subchapter S Corporation,,,N0002418C2307,CONT_AWD_N0002418C2307_9700_-NONE-_-NONE-,9700,,,AWARD,6.42266627585E9,2018-09-27,C3NLZNSMU254,HUNTINGTON INGALLS INCORPORATED,FY18-FY22 DDG 51 CLASS SHIP CONSTRUCTION,336611,SHIP BUILDING AND REPAIRING,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,,HII-Ingalls,,,,DDG 135,1,,0,Construction,Mar 2025 within DDG 135 construction window,Projected,,
XJTAAHL58NB6,"EASTERN SHIPBUILDING GROUP, INC.",EASTERN SHIPBUILDING GROUP INC,XJTAAHL58NB6,"EASTERN SHIPBUILDING GROUP, INC.",29462886,24f86310-94f0-48ec-b1c6-d8f3f5aafd88,20092-0,2025-08-08,2025-08-11,5311815.0,DDG 137 C15GB UNIT OUTSOURCING,2200 NELSON AVE,,PANAMA CITY,02,FL,FLORIDA,USA,UNITED STATES,32401-4969,2X; F; MF; XS,For Profit Organization; Business or Organization; Manufacturer of Goods; Subchapter S Corporation,,,N0002418C2307,CONT_AWD_N0002418C2307_9700_-NONE-_-NONE-,9700,,,AWARD,6.67771885437E9,2018-09-27,C3NLZNSMU254,HUNTINGTON INGALLS INCORPORATED,FY18-FY22 DDG 51 CLASS SHIP CONSTRUCTION,336611,SHIP BUILDING AND REPAIRING,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,,HII-Ingalls,,,,DDG 137,1,,0,Long-lead,Aug 2025 in DDG 137 long-lead window (before fabrication start),Projected,,
XJTAAHL58NB6,"EASTERN SHIPBUILDING GROUP, INC.",EASTERN SHIPBUILDING GROUP INC,XJTAAHL58NB6,"EASTERN SHIPBUILDING GROUP, INC.",29559510,a813c548-9134-4345-b8f3-363bb0dbfab5,25598-0,2025-09-08,2025-09-15,120469.0,DDG 139 SOW FAB OF PIPE DETAILS (GB C15),2200 NELSON AVE,,PANAMA CITY,02,FL,FLORIDA,USA,UNITED STATES,32401-4969,2X; F; MF; XS,For Profit Organization; Business or Organization; Manufacturer of Goods; Subchapter S Corporation,,,N0002418C2307,CONT_AWD_N0002418C2307_9700_-NONE-_-NONE-,9700,,,AWARD,6.67878280737E9,2018-09-27,C3NLZNSMU254,HUNTINGTON INGALLS INCORPORATED,FY18-FY22 DDG 51 CLASS SHIP CONSTRUCTION,336611,SHIP BUILDING AND REPAIRING,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,,HII-Ingalls,,,,DDG 139,1,,0,Long-lead,Sep 2025 in DDG 139 long-lead window (before fabrication start),Projected,,
