NAICS-6,NAICS-6 Title,Capability Domain (D),"Operating Role (R, internal)",Primary Output (P),Resolution,Review Flag,R-P Lattice Status,High-Integration Gate,D Rationale,R Rationale,P Rationale,Notes / Caveats
238290,Other Building Equipment Contractors,D8,R5,P6,Mapped,N,In lattice,N,"Rigging, conveyors, elevators, and industrial doors are handling auxiliaries -> D8",Delivers installation and maintenance services -> R5,Installation and rigging are service handoffs -> P6,Single override treated as entity-specific; definition-based default
325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing,D9,R1,P1,Mapped,Y,In lattice,N,Residual chemical preparations are specialty materials -> D9,Produces chemical materials and formulations -> R1,Chemical preparations are bulk or consumable inputs -> P1,Broad chemical residual; confirm unusual finished products
423510,Metal Service Centers and Other Metal Merchant Wholesalers,D9,R1,P1,Mapped,N,In lattice,N,Primary-metal products are material stock -> D9,Resells metal stock with limited processing -> R1,"Ingots, bars, plate, sheet, and pipe are material inputs -> P1",No override signal; definition-based default
484121,"General Freight Trucking, Long-Distance, Truckload",D0,R5,P6,Partial,Y,In lattice,N,General freight trucking has no technical ship domain -> D0,Delivers long-distance transportation services -> R5,Freight movement is a service handoff -> P6,Researched example agrees on D0/P6
336411,Aircraft Manufacturing,D0,R0,P0,Unresolved,Y,Unresolved,Y,"Complete aircraft, conversion, and overhaul do not map to one ship domain -> D0",Manufacturing and lifecycle-service responsibility are mixed -> R0,Complete platforms and overhaul span incompatible output forms -> P0,High-integration platform code; resolve through entity evidence
611430,Professional and Management Development Training,D0,R5,P6,Partial,Y,In lattice,N,Professional training has no technical ship domain -> D0,Delivers instruction and training services -> R5,Training is a labor-led work product -> P6,Researched example agrees on D0/P6
532490,Other Commercial and Industrial Machinery and Equipment Rental and Leasing,D0,R5,P6,Partial,Y,In lattice,N,Rental inventory spans unrelated machinery domains -> D0,Delivers equipment-use rights rather than a new article -> R5,Rental is a service handoff -> P6,No override signal; definition-based default
423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,D7,R1,P0,Partial,Y,Off lattice - review,N,Computers and peripherals are electronic hardware -> D7,Resells third-party hardware and software -> R1,Hardware and software span P3 and P6 -> P0,No override signal; output form is mixed
336415,Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing,D6,R0,P0,Partial,Y,Unresolved,N,Missile propulsion units support a weapon-system function -> D6,"Units, parts, and prototypes imply mixed responsibility -> R0",Definition spans functional units and component parts -> P0,Single unresolved override supports conservative treatment
334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing,D7,R1,P2,Mapped,N,In lattice,N,Loaded circuit boards are electronic assemblies -> D7,Loads components onto boards for downstream systems -> R1,Printed circuit assemblies are inputs to larger devices -> P2,No override signal; definition-based default
551112,Offices of Other Holding Companies,D0,R0,P0,Unresolved,Y,Unresolved,N,Holding companies have no attributable technical domain -> D0,Securities ownership is not an operating supplier role -> R0,No operating output is attributable -> P0,Non-operating attribution; use the operating subsidiary override
335314,Relay and Industrial Control Manufacturing,D3,R2,P3,Mapped,N,In lattice,N,"Relays, starters, and controllers switch electrical power -> D3",Manufactures a named industrial-control product family -> R2,Control units are bounded functional equipment -> P3,No override signal; definition-based default
423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers",D1,R1,P0,Partial,Y,Off lattice - review,N,Lumber and wood panels primarily support structural fabrication -> D1,Resells third-party wood and millwork products -> R1,Stock lumber and finished millwork span P1 and P2 -> P0,No override signal; mixed output form
325520,Adhesive Manufacturing,D9,R1,P1,Mapped,N,In lattice,N,Adhesives and caulking compounds are specialty materials -> D9,Produces formulated bonding materials -> R1,Adhesives are consumable process inputs -> P1,No override signal; definition-based default
335931,Current-Carrying Wiring Device Manufacturing,D7,R2,P2,Mapped,N,In lattice,N,Wiring devices connect and carry electrical power -> D7,Manufactures a named wiring-device product family -> R2,"Bus bars, receptacles, and switches are components -> P2",No override signal; definition-based default
561910,Packaging and Labeling Services,D0,R5,P6,Partial,Y,In lattice,N,Packaging services have no technical ship domain -> D0,Delivers packaging and labeling labor -> R5,Packaging service is the contractual handoff -> P6,No override signal; definition-based default
339113,Surgical Appliance and Supplies Manufacturing,D10,R2,P0,Partial,Y,Off lattice - review,N,Safety and medical outfit align most closely with D10,Manufactures named appliance and supply products -> R2,Supplies range from consumables to complete furniture -> P0,No override signal; output form requires product evidence
334118,Computer Terminal and Other Computer Peripheral Equipment Manufacturing,D7,R2,P3,Mapped,N,In lattice,N,Computer peripherals are component-level electronic hardware -> D7,Manufactures a named peripheral-equipment family -> R2,Terminals and peripherals are bounded functional equipment -> P3,No override signal; definition-based default
332722,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing",D9,R1,P2,Mapped,N,In lattice,N,Fastener forming is a specialized metal process -> D9,Produces standardized fasteners for downstream assembly -> R1,"Bolts, nuts, rivets, and washers are finished parts -> P2",No override signal; definition-based default
331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding",D9,R1,P1,Mapped,N,In lattice,N,"Rolling, drawing, and extrusion are primary-metal processes -> D9",Processes nonferrous metal into stock shapes -> R1,"Bar, plate, sheet, strip, and tube are material inputs -> P1",No override signal; definition-based default
332216,Saw Blade and Handtool Manufacturing,D0,R2,P0,Partial,Y,Off lattice - review,N,"Saw blades and handtools are production supplies, not a ship domain -> D0",Manufactures named tool product families -> R2,Saw blades and complete handtools span P2 and P3 -> P0,No override signal; mixed output form
332510,Hardware Manufacturing,D10,R2,P2,Mapped,N,In lattice,N,"Hinges, handles, keys, and locks are general outfit -> D10",Manufactures a named hardware product family -> R2,Hardware installs as finished components -> P2,No override signal; definition-based default
425120,Wholesale Trade Agents and Brokers,D0,R5,P6,Partial,Y,In lattice,N,Goods brokerage has no technical ship domain -> D0,Arranges sales without taking title to goods -> R5,Brokerage is a service handoff -> P6,No override signal; definition-based default
423710,Hardware Merchant Wholesalers,D10,R1,P0,Partial,Y,Off lattice - review,N,Hardware and tools are general-outfit supplies -> D10,Resells third-party hardware and tools -> R1,Fasteners and complete tools span P2 and P3 -> P0,No override signal; mixed output form
335132,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing",D10,R2,P3,Mapped,N,In lattice,N,Lighting fixtures are finished general outfit -> D10,Manufactures a named lighting-fixture family -> R2,Lighting fixtures are bounded functional equipment -> P3,No override signal; definition-based default
322211,Corrugated and Solid Fiber Box Manufacturing,D0,R1,P2,Partial,Y,In lattice,N,Shipping boxes do not support a technical ship domain -> D0,Converts paperboard into packaging products -> R1,Boxes and partitions are finished packaging components -> P2,No override signal; indirect supply-chain input
423860,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers,D0,R1,P0,Partial,Y,Off lattice - review,Y,"Aircraft, railcars, ships, and boats span unrelated domains -> D0",Resells complete transportation equipment -> R1,Complete platforms and supplies span incompatible output forms -> P0,High-integration goods require entity evidence; no P4/P5 default
221310,Water Supply and Irrigation Systems,D4,R5,P6,Mapped,Y,In lattice,N,Water treatment and distribution are fluid-system functions -> D4,Operates water-supply infrastructure as a service -> R5,Water supply is a service handoff -> P6,No override signal; indirect utility support
333248,All Other Industrial Machinery Manufacturing,D0,R2,P3,Partial,Y,In lattice,N,Residual industrial machinery spans unrelated production processes -> D0,Manufactures finished industrial machinery -> R2,Industrial machines are bounded functional equipment -> P3,No override signal; technical domain requires entity evidence
336414,Guided Missile and Space Vehicle Manufacturing,D6,R3,P0,Partial,Y,Off lattice - review,Y,Complete guided missiles are integrated weapon systems -> D6,Complete missile production implies system integration -> R3,P4 requires entity evidence despite complete-system wording -> P0,High-integration gate applied; P4 remains override-only
541511,Custom Computer Programming Services,D0,R5,P6,Partial,Y,In lattice,N,Generic programming does not identify a ship domain -> D0,Delivers custom software development services -> R5,Software code and support are technical work products -> P6,No override signal; definition-based default
562910,Remediation Services,D0,R5,P6,Partial,Y,In lattice,N,Remediation services do not identify a ship technical domain -> D0,Delivers cleanup and abatement services -> R5,Remediation work is a labor-led handoff -> P6,No override signal; definition-based default
561612,Security Guards and Patrol Services,D0,R5,P6,Partial,Y,In lattice,N,Guard services have no technical ship domain -> D0,Delivers guard and patrol labor -> R5,Security labor is a service handoff -> P6,No override signal; definition-based default
541380,Testing Laboratories and Services,D0,R5,P6,Partial,Y,In lattice,N,Testing scope spans every technical domain -> D0,Delivers laboratory and on-site testing services -> R5,Test reports and qualification results are work products -> P6,No override signal; technical domain requires test-specific evidence
337127,Institutional Furniture Manufacturing,D10,R2,P3,Mapped,N,In lattice,N,Institutional furniture is habitability and interior outfit -> D10,Manufactures a named furniture product family -> R2,Furniture is a bounded finished article -> P3,No override signal; definition-based default
325211,Plastics Material and Resin Manufacturing,D9,R1,P1,Mapped,N,In lattice,N,Resins and plastics materials are specialty material inputs -> D9,Produces commodity and custom resin formulations -> R1,Resins require downstream forming or fabrication -> P1,No override signal; definition-based default
332613,Spring Manufacturing,D9,R1,P2,Mapped,N,In lattice,N,Spring forming is a specialized metal process -> D9,"Forms springs from purchased wire, strip, or rod -> R1",Springs are finished parts -> P2,No override signal; definition-based default
326113,UNLAMINATED PLASTICS FILM AND SHEET (EXCEPT PACKAGING) MANUFACTURING,D9,R1,P1,Mapped,N,In lattice,N,Plastic film and sheet production is a materials process -> D9,Converts resin into stock film and sheet -> R1,Film and sheet require downstream fabrication -> P1,No override signal; definition-based default
923110,Administration of Education Programs,D0,R5,P6,Partial,Y,In lattice,N,Education administration has no technical ship domain -> D0,Delivers administrative coordination and oversight -> R5,Administrative work is a service handoff -> P6,No override signal; definition-based default
333924,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing",D8,R2,P3,Mapped,N,In lattice,N,"Forklifts, stackers, and loading docks handle material -> D8",Manufactures a named industrial-truck product family -> R2,Industrial trucks and stackers are functional equipment -> P3,No override signal; definition-based default
334516,Analytical Laboratory Instrument Manufacturing,D7,R2,P3,Mapped,N,In lattice,N,Analytical instruments are component-level electronic equipment -> D7,Manufactures a named laboratory-instrument family -> R2,Analytical instruments are bounded functional equipment -> P3,No override signal; definition-based default
561990,All Other Support Services,D0,R5,P6,Partial,Y,In lattice,N,Residual support services have no stable technical domain -> D0,Delivers organizational support services -> R5,Support activity is a service handoff -> P6,Broad residual service code; resolve specialty through entity evidence
333999,All Other Miscellaneous General Purpose Machinery Manufacturing,D0,R2,P3,Partial,Y,In lattice,N,Residual general-purpose machinery spans fluid and handling functions -> D0,Manufactures finished general-purpose machinery -> R2,Listed machinery is bounded functional equipment -> P3,Legacy residual code; technical domain requires entity evidence
238990,All Other Specialty Trade Contractors,D0,R5,P6,Partial,Y,In lattice,N,Residual specialty trades span unrelated technical domains -> D0,Delivers specialized construction labor -> R5,Trade work is a service handoff -> P6,Broad residual trade code; resolve specialty through entity evidence
541614,"Process, Physical Distribution, and Logistics Consulting Services",D0,R5,P6,Partial,Y,In lattice,N,Operations and logistics consulting has no technical ship domain -> D0,Delivers process and logistics advice -> R5,Consulting deliverables are work products -> P6,No override signal; definition-based default
326199,All Other Plastics Product Manufacturing,D9,R1,P2,Mapped,Y,In lattice,N,Residual plastics manufacturing is a material-process capability -> D9,Forms miscellaneous plastics products for downstream use -> R1,Finished plastics products are most defensibly components -> P2,Broad residual product code; confirm complete end-item exceptions
332119,"Metal Crown, Closure, and Other Metal Stamping (except Automotive)",D9,R1,P2,Mapped,N,In lattice,N,Metal stamping and spinning are specialized forming processes -> D9,Forms unfinished metal products to specification -> R1,Stampings and spun products are finished components -> P2,No override signal; definition-based default
237990,Other Heavy and Civil Engineering Construction,D0,R5,P6,Partial,Y,In lattice,N,Heavy civil and marine construction spans nonship infrastructure -> D0,Delivers civil construction and repair services -> R5,Construction work is a labor-led handoff -> P6,No override signal; marine-facility work does not imply ship-module output
541990,"All Other Professional, Scientific, and Technical Services",D0,R5,P6,Partial,Y,In lattice,N,Residual professional services have no stable technical domain -> D0,Delivers professional or technical services -> R5,"Reports, inspections, and appraisals are work products -> P6",Broad residual service code; resolve specialty through entity evidence
424690,Other Chemical and Allied Products Merchant Wholesalers,D9,R1,P1,Mapped,Y,In lattice,N,Industrial chemicals are specialty material inputs -> D9,Resells third-party chemicals and allied products -> R1,Chemicals and salts are bulk or consumable inputs -> P1,Broad chemical assortment; confirm unusual equipment products
331524,Aluminum Foundries (except Die-Casting),D9,R1,P1,Mapped,N,In lattice,N,Casting process is the differentiating capability -> D9,Pours purchased aluminum into castings -> R1,Castings normally require downstream machining or qualification -> P1,No override signal; definition-based default
334412,Bare Printed Circuit Board Manufacturing,D7,R1,P2,Mapped,N,In lattice,N,Bare circuit boards carry electronic interconnect pathways -> D7,Fabricates boards for downstream electronic assemblies -> R1,Bare printed circuit boards are finished components -> P2,No override signal; definition-based default
334512,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use",D5,R2,P3,Mapped,N,In lattice,N,Automatic controls regulate HVAC and refrigeration -> D5,Manufactures a named environmental-control family -> R2,Controllers and regulators are functional equipment -> P3,No override signal; definition-based default
444190,Other Building Material Dealers,D0,R1,P0,Partial,Y,Off lattice - review,N,"Building materials span structural, electrical, fluid, and outfit domains -> D0",Resells third-party building materials -> R1,Stock materials and finished fixtures span P1 through P3 -> P0,Legacy retail code; resolve commodity through entity evidence
424410,General Line Grocery Merchant Wholesalers,D10,R1,P1,Mapped,Y,In lattice,N,Groceries support crew habitability and provisions -> D10,Resells third-party food products -> R1,Groceries are consumable bulk inputs -> P1,No override signal; indirect habitability supply
326220,Rubber and Plastics Hoses and Belting Manufacturing,D4,R1,P2,Mapped,N,In lattice,N,Hoses convey fluids and gases in piping systems -> D4,Manufactures hose and belting to specification -> R1,Hose and belting are finished components -> P2,No override signal; definition-based default
713990,All Other Amusement and Recreation Industries,D0,R5,P6,Partial,Y,In lattice,N,Recreation services have no technical ship domain -> D0,Delivers recreation and amusement services -> R5,Recreation activity is a service handoff -> P6,No override signal; definition-based default
332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring",D9,R1,P2,Mapped,N,In lattice,N,Plating and anodizing are specialized surface processes -> D9,Processes customer-owned parts to specification -> R1,Treated parts leave as finished components -> P2,No override signal; definition-based default
334310,Audio and Video Equipment Manufacturing,D6,R2,P3,Mapped,N,In lattice,N,Audio and public-address equipment supports communications -> D6,Manufactures a named audio-video product family -> R2,Amplifiers and speaker systems are functional equipment -> P3,No override signal; definition-based default
332812,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers",D9,R1,P2,Mapped,N,In lattice,N,Coating and engraving are specialized surface processes -> D9,Processes customer-owned products to specification -> R1,Coated or engraved articles leave as finished components -> P2,No override signal; definition-based default
332618,Other Fabricated Wire Product Manufacturing,D9,R1,P2,Mapped,Y,In lattice,N,Residual wire-product fabrication is a metal-process capability -> D9,Fabricates products from purchased wire -> R1,Wire products are finished components -> P2,Broad residual product code; noninsulated cable may require D7 override
332114,Custom Roll Forming,D9,R1,P2,Mapped,N,In lattice,N,Custom roll forming is a specialized metal-forming process -> D9,Forms metal products to customer specifications -> R1,Roll-formed products are finished components -> P2,No override signal; definition-based default
339920,Sporting and Athletic Goods Manufacturing,D10,R2,P3,Mapped,Y,In lattice,N,Finished sporting goods fit general outfit rather than a system domain -> D10,Manufactures finished sporting-goods products -> R2,Sporting goods are bounded finished articles -> P3,Broad nonship product code; confirm actual naval application
327910,Abrasive Product Manufacturing,D9,R1,P1,Mapped,N,In lattice,N,Abrasives are specialized process materials and consumables -> D9,Produces abrasive materials and tools for processing -> R1,Abrasives are consumable production inputs -> P1,No override signal; definition-based default
326299,All Other Rubber Product Manufacturing,D9,R1,P2,Mapped,Y,In lattice,N,Residual rubber manufacturing is a material-process capability -> D9,Forms miscellaneous rubber products for downstream use -> R1,Finished rubber products are most defensibly components -> P2,Broad residual product code; confirm tubing and complete-product exceptions
333994,Industrial Process Furnace and Oven Manufacturing,D5,R2,P3,Mapped,N,In lattice,N,Industrial furnaces and ovens provide process heat -> D5,Manufactures a named thermal-equipment family -> R2,Furnaces and ovens are functional equipment -> P3,No override signal; definition-based default
333996,Fluid Power Pump and Motor Manufacturing,D4,R2,P3,Mapped,N,In lattice,N,Hydraulic and pneumatic pumps and motors control fluid power -> D4,Manufactures a named fluid-power equipment family -> R2,Pumps and motors are bounded functional equipment -> P3,No override signal; definition-based default
321213,Engineered Wood Member (except Truss) Manufacturing,D1,R1,P2,Mapped,N,In lattice,N,Engineered wood members are structural components -> D1,Fabricates structural wood members to specification -> R1,Laminated members are fit-ready structural components -> P2,No override signal; definition-based default
532412,"Construction, Mining, and Forestry Machinery and Equipment Rental and Leasing",D0,R5,P6,Partial,Y,In lattice,N,"Rental inventory is construction equipment, not a ship domain -> D0",Delivers equipment-use rights without operators -> R5,Rental is a service handoff -> P6,No override signal; definition-based default
325510,Paint and Coating Manufacturing,D9,R1,P1,Mapped,N,In lattice,N,Paints and coatings are specialty process materials -> D9,Produces formulated coating materials -> R1,Coatings are consumable process inputs -> P1,No override signal; definition-based default
314910,Textile Bag and Canvas Mills,D10,R1,P2,Mapped,Y,In lattice,N,"Canvas covers, sails, and bags are general outfit -> D10",Fabricates textile products from purchased material -> R1,Canvas products are finished components -> P2,Broad textile code; confirm sail or protective-cover application
332311,Prefabricated Metal Building and Component Manufacturing,D1,R1,P2,Mapped,Y,In lattice,Y,Prefabricated metal panels and sections are structural products -> D1,Fabricates structural sections to customer requirements -> R1,Panels and sections are the defensible lower output form -> P2,Complete-building or module interpretations require entity evidence for P5
811210,Electronic and Precision Equipment Repair and Maintenance,D0,R5,P6,Partial,Y,In lattice,N,"Repair scope spans computers, communications, radar, and instruments -> D0",Delivers electronic-equipment repair services -> R5,Repair and maintenance are service handoffs -> P6,No override signal; technical domain requires repaired-item evidence
444130,Hardware Stores,D10,R1,P0,Partial,Y,Off lattice - review,N,General hardware supports outfit and production activities -> D10,Resells third-party hardware and tools -> R1,Hardware items span parts and complete tools -> P0,Legacy retail code; output form is mixed
561621,Security Systems Services (except Locksmiths),D6,R5,P6,Mapped,Y,In lattice,N,Alarm and monitoring systems support sensing and communications -> D6,"Delivers installation, monitoring, and repair services -> R5",Security-system service is the principal handoff -> P6,Single unresolved override is entity-specific; definition is service-led
532310,General Rental Centers,D0,R5,P6,Partial,Y,In lattice,N,General rental inventory spans unrelated technical domains -> D0,Delivers short-term equipment-use rights -> R5,Rental is a service handoff -> P6,No override signal; definition-based default
339950,Sign Manufacturing,D10,R2,P2,Mapped,N,In lattice,N,Signs and displays are finished general outfit -> D10,Manufactures a named sign product family -> R2,Signs install as finished components -> P2,No override signal; definition-based default
541620,Environmental Consulting Services,D0,R5,P6,Partial,Y,In lattice,N,"Environmental consulting spans air, water, and remediation topics -> D0",Delivers environmental advice and assessment -> R5,Consulting reports and recommendations are work products -> P6,No override signal; technical domain requires project evidence
488330,Navigational Services to Shipping,D0,R5,P6,Partial,Y,In lattice,N,"Piloting, tug, and salvage services are not installed ship domains -> D0",Delivers navigational and harbor services -> R5,Marine navigation assistance is a service handoff -> P6,No override signal; definition-based default
561622,Locksmiths,D10,R5,P6,Mapped,Y,In lattice,N,"Locks, safes, and vaults are general outfit -> D10","Delivers installation, repair, and adjustment services -> R5",Locksmith work is the principal handoff -> P6,Mixed product and service code; service default selected
238220,"Plumbing, Heating, and Air-Conditioning Contractors",D0,R5,P6,Partial,Y,In lattice,N,Plumbing and HVAC work spans D4 and D5 -> D0,Delivers installation and maintenance services -> R5,Contractual handoff is installed-service work -> P6,No override signal; technical domain requires trade-specific evidence
562211,Hazardous Waste Treatment and Disposal,D0,R5,P6,Partial,Y,In lattice,N,Hazardous-waste operations have no ship technical domain -> D0,Delivers waste treatment and disposal services -> R5,Treatment and disposal are service handoffs -> P6,No override signal; definition-based default
423740,Refrigeration Equipment and Supplies Merchant Wholesalers,D5,R1,P3,Mapped,Y,Off lattice - review,N,Refrigeration equipment supports thermal conditioning -> D5,Resells third-party refrigeration equipment -> R1,Refrigeration machines are functional equipment -> P3,R1/P3 is a legitimate distributor exception requiring review
531120,Lessors of Nonresidential Buildings (except Miniwarehouses),D0,R5,P6,Partial,Y,In lattice,N,Real-estate leasing has no technical ship domain -> D0,Delivers rights to use nonresidential space -> R5,Leasing is a service handoff -> P6,No override signal; definition-based default
524291,Claims Adjusting,D0,R5,P6,Partial,Y,In lattice,N,Claims adjusting has no technical ship domain -> D0,"Delivers investigation, appraisal, and settlement services -> R5",Claims work is a service handoff -> P6,No override signal; definition-based default
325120,Industrial Gas Manufacturing,D4,R1,P1,Mapped,N,In lattice,N,Compressed and liquid gases are fluid-system commodities -> D4,Produces industrial gases for downstream use -> R1,Industrial gases are bulk consumable inputs -> P1,No override signal; definition-based default
423490,Other Professional Equipment and Supplies Merchant Wholesalers,D0,R1,P0,Partial,Y,Off lattice - review,N,Professional equipment assortment spans instruments and supplies -> D0,Resells third-party professional equipment and supplies -> R1,"Merchandise spans components, equipment, and consumables -> P0",No override signal; commodity and output form are mixed
423810,Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers,D0,R1,P0,Partial,Y,Off lattice - review,N,Construction and mining machinery is not a ship technical domain -> D0,Resells third-party heavy machinery and parts -> R1,Merchandise spans complete equipment and components -> P0,No override signal; output form is mixed
238350,Finish Carpentry Contractors,D10,R5,P6,Mapped,N,In lattice,N,Ship joinery and finish carpentry support interiors -> D10,Delivers installation and finish-carpentry services -> R5,Joinery installation is a service handoff -> P6,No override signal; definition-based default
326150,Urethane and Other Foam Product (except Polystyrene) Manufacturing,D9,R1,P1,Mapped,N,In lattice,N,Plastic foam production is a specialty material process -> D9,Produces foam material for downstream conversion -> R1,Foam products are most defensibly material inputs -> P1,No override signal; definition-based default
561311,Employment Placement Agencies,D0,R5,P6,Partial,Y,In lattice,N,Employment placement has no technical ship domain -> D0,Delivers recruiting and placement services -> R5,Placement activity is a service handoff -> P6,No override signal; definition-based default
